Exit,RM,BK,TT,SL,FM,OW,EM,XX,BP,DC,MB,
RM,0,369,180,44,41,26,0,122,62,50,20,
BK,111,0,538,100,260,87,0,340,96,127,138,
TT,185,470,0,327,451,96,0,282,161,179,136,
SL,45,161,335,0,136,45,0,94,57,61,14,
FM,42,281,443,133,0,22,0,87,36,65,9,
OW,28,39,111,41,18,0,0,194,66,46,25,
EM,0,0,0,0,0,0,0,0,0,0,0,
XX,103,325,275,87,90,189,0,0,760,256,203,
BP,64,90,144,59,33,79,0,708,0,158,156,
DC,50,122,290,65,65,53,0,259,185,0,216,
MB,24,139,127,15,8,28,0,194,165,209,0,
,,,,,,,,,,,,
